,star,reviews
1181,5,Powerful machine. Good battery life .
1182,5,"Battery is very good, no other laptop can beat the battery performance."
1183,5,"Ive been using this laptop for a while, it has an excellent performance,expect the battery dosent stay much longer but with proper use it can last longer
if you are looking for a laptop with a decent specs then you are in the right place
the 2 day delivery from flipkart is also satifying"
1184,5,"best laptop, light weighted and fast"
1185,4,"No backlit keyboard, very slim and charge stands only for 3 - 4 hrs"
1186,1,Worst laptop ever experienced. Please don't waste your money on this laptop. Very slow and battery lasts only 1 hr
1187,1,This machine is very slow and battery does not lasts long hardly for 1/2 hrs it works on battery. HP need to improve a lot in this. Please do not buy this machine. I want replacement of my machine.
1188,1,battery backup only 1.5 hours.
1189,1,Battery Backup Is Worst It's 1.5 hour Only Backup.Dont Buy This Product
1190,5,if you can add an additional SSD then laptop will be awesome. otherwise compared to SSD the booting process is not fast but ok.
1191,5,Need to improve sound quality.
1192,4,"Read carefully.. My Experience was complicated just because of boot time i.e. on/off time was too long until I didn't go for updates but once I have done all updates... I am telling you guys...Maska..hai.. Maska..

Superb performance.. and look wise i liked it very much. I use to play GT racing without any lag..

My daughter is also happy for her online studies.

My suggestion is that don't think twice just go for it with Flipkart.

Thanks flipkart for very safe and on time delivery."
1193,5,Nice laptop and Ryzen 3 is a good processor for multi tasking... Design and color both are good. It's better to go with this HP laptop in this price segment...
1194,5,"#Price up to mark
Its wonderful product for those ,who looking for student and domestic work

1)Its just my dream lappi,(laptop)
2)just go for laptop,its really awesome
3)I just bought it for my project and bussiness work it's awesome
4)one of the best product from HP
5)just price is little high ,it have to be reduced
6) I loved it
7) I recommend it for u,💯💯❤️"
1195,3,"HP Product is Good/Ok, but personally i will prefer Dell Laptop. Dell Laptop is best & friendly for smooth process
& I thing i3 is better comparison to Rayzen 3."
1196,5,Awesome and nice for students and all. The favorite things is its comes with Windows and office home and student precious.
1197,4,"Compare to i3, ryzen 3 is far better in performance with 4gb ram, full Battery charged still works more than 6 hrs... No heating problem.. Display only not bad quality, rest of them are worth for this amount"
1198,4,Very nice product finishing is very good.
1199,5,Such a awesome product by HP. according to budget.
1200,3,"Do not expect much :
1)Very slow takes a lot of time just open a browser.
2)Design is good
3)Battery backup ok.
if you want to do basic editing and some gaming then go for atleast 8 GB ram and 4 core processor ."
1201,5,Nice
1202,5,"It's a very good laptop for daily usage. I bought this laptop for my work and I work on photoshop, premiere pro and many heavy softwares are working very smoothly.
Built quality is super its having aluminium chassis
Very light in weight and very fast in processing.
If you want a light weight laptop with performance then go for it ."
1203,4,"It's very good product in this price bracket. I felt it little heavy, but compare to other products in this price .The weight will be manageable .This is good product.
I've another laptop Dell latitude 3400 14intch. Compare to that this is very good .Boot up and shutting down very fast."
1204,5,"Superb but will be the best if stylus included(it can bought separately. If u worth go for this
Faster ssd compared to 1TB hdd can reboot or start with in 6 sec.
Build quality and 2 in 1 facility in extraordinary
A bit low sound but clarity is amazing
Best for students."
1205,5,Cute little superior beautiful piece and performance just wow best deal .!
1206,5,Best in it's segment only shortcoming is they should provide it's Pen also......For regular use it is more than sufficient.. Otherwise it's a delicate darling need to be taken care of properly
1207,5,"Good laptop at this price range. Performance based also good but not for heavy work. For simple use like, MS office work, watching videos and surfing i3 is much enough. Handling multitask smoothly. Bit hevy than expected. Stylus pen not come with this product its vry disappointment. Battery - 4 to 5 hours (continues work) charging time - 0 to 100% took around 1 hour 20 minutes. Over all gud. Worth buying."
1208,4,"Pros
1. Light and Compact
2. Superb Finish
3. SSD and 8GB ram make it boot faster
4. Suitable for day to day work , Coding etc.m,
5. Touch screen
6. Speed and Performance is good as 8GB RAM ABD SSD is available. Application Launch is Faster. Booting up is Faster.

Cons
1. Screen size is Small. Depends on your usage requirements
2. Speakers are not.too loud. But Manageable
3. Only 2 USB ports
4. No Bag / No Pouch Provided for Carrying"
1209,5,Device is wonderful. I have been using windows 8/10 since its inception and how windows has improved over these years have been very unbelievable as windows updates are basically a disaster but windows experience in this laptop is very different as i am also using a mac parallel to windows for my personal multimedia needs but i have been using an HP 15 series for 5 years for my business accounting needs with built in windows 10 trust me after 5 years i switched to pavillion for the same and t...
1210,5,I got what ever I want I can do what ever I like from this product and touch is so much smooth and battery backup also very good with first charging
1211,5,Awesome laptop it is very handy and light weight and the touch response is very nyc it works very well ....i loved it❤️❤️
1212,5,"Amazed to have this laptop. It has a great design, good battery backup and fabulous display. Sound is sufficient to watch videos at your desk. It is pretty slick than what we were expecting, very much similar to high end hp laptops (spectre, elitebook, etc.). After a days use, can say I3 11th generation processor working just fine for normal laptop uses like content streaming, web browsing, etc."
1213,5,"The delivery was superfast by Flipkart. The packaging was very good. The laptop looks awesome, with its metallic aluminium finish, lovely island style backlit keyboard, great tab mode, strong hinge. The resolution is pretty good, boot up time low and touchscreen is responsive.

Over all initial experience is pretty good, will give a detailed review later."
1214,4,"Awesome and ultra stylish laptop in current generation,
.Display was excellent
.Touch was fine
.i3 11 gen processor was ok for normal usage guy like me.
.should talk about the sound quality, never expected that much louder in any laptop, very much impressive…

JUST GO WITH IT"
1215,4,"Fast bootup, Great Screen and lighter than other laptop. . Note they have not included Pen in the package , should have been part of the package"
1216,5,Nice
1217,4,"This is genuine hp product, covered under 1yr onsite warranty. Comes with MS Windows 10 home single language edition and MS office 2019 home & student edition with lifetime validity. Smooth performance, slim design, metal finish, average battery life.Great for normal use."
1218,4,If stylus pen is shown here in pic it should be given with laptop.Its missing.After contact concern persons they said stylus pen is not written in description.If it is not mentioned in description then why it is shown in pic. Otherwise rest of the things are very good . Excellent quality of speaker s.
1219,5,Nice laptop ... Just buy it don't think too much
1220,3,Just ok
1221,5,"Amazing product at this price point..great looks, amazing touchscreen, lag free running. Great value for money👌👍"
1222,4,"The build and finish is great. The display is good but not great viewing angles try adjusting gamma for better viewing experience. It does need manual display callibration. The battery is 3-4 hrs with just coding, casual surfing and movie but one can manage as it comes with 65w cell for fast charging. The camera is straight out trash. No second thoughts, it could have been way better.

The positives are ofcourse that processing power coupled with ssd. It's light weight and feels great in usin..."
1223,5,Speed is good. Battery backup is usually 3-4 hours without internet. Their is no heatting issue.Display is LED type which is a modified LCD which has LED light diodes.Laptop is light weight and slim. Laptop has no backlit keyboard that makes me sad.Also camera is not good it is just 0.3 MP VGA which is very low.Laptop starts in 3-5 seconds.It has fingerprint sensor in trackpad square.
1224,4,"Every other spec meets the expectation but the camera. Webcams in general are pretty bad, but this one feels terrible. It's fine if you want for the sake of it. But, if webcam is an important criteria this is not the right choice. The product rates excellent in every other criteria."
1225,5,"Good laptop but the battery is also good but not better ,I am little not satisfied with battery ,but overall performance is good"
1226,4,"Ordered this laptop at 49k. Looks good, build quality is also decent, powerful processor, storage space is a little less, battery life is also decent 3 to 4 hrs.

Deducted one star for pretty average display quality and very poor webcam quality. I have read other reviews about poor webcam quality but it is even worse than I was expecting. My 25k HP laptop has a better display and webcam quality. I will install an external webcam because the camera quality is really pathetic.

Good buy for a p..."
1227,3,"Bought this Laptop for Personal use .....
Speed - 4/5
Pricing - 4/5
Sound - 3/5
Screen Display Colours (Specially on surfing Internet) - 2/5
Built Quality - OK - 3/5
Warranty - Valid from Manufacturing date & not from Purchase date - 3/5
Laptop which I have received - Laptop Base is not flat - 1 corner is little elevated .... seems to be a manufacturing issue.

Overall - 3/5"
1228,5,"I am writing review after 4 days of usage i hope you will find it helpful

Light weight and thin laptop
Battery goes for 5-6 hours on Normal usage
1.1 hours to full charge
Fast finger print
no heating issue
full 180°
microSD card port


Camera is like a jiophone camera😐"
1229,5,Good quality product go for it👍
1230,5,Nice product
1231,5,Nice product
1232,4,"Well to start off with, this is my 1st laptop that i purchased. all this while i have been doing my work on a desktop and knew only of P4. Did a bit of research on the modern technology took me 2 days to zero down on to this product. first my budget was around 30 to 40 k. had shortlisted Lenovo i3. did further research and came across this one... just had to stretch my budget to further 9k, yes the purchase was worth it.

1 TB of SSD, 8 GB RAM, i5 processor, back lit keyboard, harman / kard..."
1233,5,"This laptop comes with awesome features and a superb battery backup. The laptop starts in 5-6 seconds, the speed of laptop is superb. And you get a battery backup of minimum 4+ hours. Others laptop even at a price of 65k won't give you such a good experience and such battery backup. It's the best laptop in this price range and specially more than best if you are a student. I have not faced any heating any laging issues until know. Some people are mentioning about laging and heating issue spec..."
1234,5,"It's been more than two weeks since I purchased this laptop.. As I'm a software developer, I bought this laptop for programming. I would like to share my experience with this laptop..
1) It has 1TB SSD which is best and it makes your laptop run smooth.
2) 8GB RAM is enough to give u seamless multitasking.
3) 178 degree viewing angle in LCD display is okay. Because while I was testing viewing angle it really not that much impressive and it's expected.
4) Built in Intel graphics card I haven'..."
1235,5,"this laptop comes with a great look. good performance laptop.
but battery drains very fast in starting. but now it's fine giving about 5 hours of battery backup.
the camera is not up to the mark.
performance is very smooth and fast. even if you're planning to buy this laptop I must say you can buy this laptop for daily use or office use. but this laptop not able to give you the best gaming performance. as its battery gets drain very fast while gamming.
I also still don't know that this lapto..."
1236,4,"Writing after two days of usage. Purchased for 47K. Looks and performance are good. For this price, it's worthy if it performs as per the config and lasts long. Fan is a bit noisy even I ain't using any apps. Overall satisfied with the product."
1237,5,It is totally good in this price
1238,4,"Overall good performance,but little disappointed with heating"
1239,5,Must buy ! best products in this cost
1240,5,"Excellent product in budget

Happy as per first impression i will update my full review after some day of usage.

Full review 👍

Laptop is fast as it has 8 GB DDR4 RAM
1TB ssd and pre install windows 10 home addition.
Nice backlit keyboard.
Fast reboot 5 to 7 sec only.
Best in budget laptop.
No heating issue
Battery is quite good you can easily use 7 hours in average use.

Display is average but you can adjust according your angle.
Type C charging missing. Although it has type C connection ..."
1241,5,Fastest performance and everything is so smooth with no noise like HDD laptops
1242,1,"I seriously doubt that this lap has got i3 processor coz it lags very much
It takes more than a minute to load a picture itself
Sticks most of the time"
1243,1,Battery backup very bad i m very disappointed
1244,1,not up to mark
1245,1,Very bad
1246,3,Ok👍
1247,4,"Good for basic uses. I am using it for my online classes, and it is perfectly fine for me."
1248,4,Perfect laptop at this price
1249,4,Good
1250,5,Very slow
1251,2,Worst performance
1252,5,"Great product , loving it .Thank you Flipkart for amazing support & on time delivery"
1253,5,Top notch build quality.
1254,5,Good product and awesome delivery service by flipkart
1255,5,"Awesome product.
Display and looks are mind blowing.
Battery backup could be improved.
Performance is also great only it gets a bit heats up while doing intensive tasks."
1256,5,Awesome Laptop. No questions asked! Will come up with detailed review soon.
1257,5,"I am loving the look and feel, it feels like a hp macbook. In love with the boot time of 10 seconds. It's really fast and best with latest features. It Activated windows and ms office automatically while starting up and the 4g slot for simcard is awesome and the speed is really good. Love in overall. Just the battery written is 9 hour's backup but it's less than 5 hour's. But overall satisfied with the laptop."
1258,5,This is my second HP laptop purchase after 6 years since the first one. I wanted something light weight with upgraded additions to work from home. It comes with a sim card slot to operate even if your WiFi is down. The backlight keyboard also provides good visibility to work in the dark. The image quality is supreme. The internal functioning is lightning speed. Quick shutdown and reboot. It also comes with MS Office so all in all a good buy.
1259,4,"I am here after use of 7-8 day it design it quite good but i am not full satisfy with display it looks very silky& think if you put your hand on this thinking it will be broke ... 😆
Bettery is also good i am just using videos or internet suffring i'm not sure about gaming becuase still now i am not played any single game of this .
It is glamerous looking on design and make by
the plasticc body charging speed is also good it takes 90 min approx to get full charged
If you want just browi..."
1260,4,Got it yesterday. Haven't used it much yet. Laptop was delivered in good condition. As of now everything seems to be good. Camera quality is not good and battery drains faster especially when watching videos or such stuff. It's ok when you are just browsing the net or doing normal stuff. Apart from that it's a good laptop . Looks good too. You can go for it. 😊
1261,4,"I am writing this review after using it for 30 days. Overall this is good piece of gadget in this price range but I am giving it a 4 star only because of its poor battery backup. Design is pleasant and easy to carry. Below are few pros and cons:

Pros:
1. Light weight
2. Durable design
3. 4G LTE feature
4. Backlight keyboard
5. MS office
6. Speaker are ok

Cons:
1. Battery life is very poor. Provides a battery backup of only 4.5 hours that too if you are not doing any heavy task. While watchi..."
1262,4,"Everything is good i am satisfied with my laptop.
I love its color design and performance.
Everything looks very premium.

But I am little sad bcz battery performance not so well. Flipkart shown its 9 hour but its average 3-4 hours only. Charging very fast Complete it in 1-1/2 hour only but decrease also very fast.

But Overall its a Amazing Product 👌"
1263,5,"I thought of writing this review after some use. It's been 2 weeks and thought it would be useful for others as well. The delivery was superfast, I ordered it on Saturday and the laptop is delivered very next day. The setup was superfast, enter the credentials of your wifi and registration details, laptop is set. The laptop is very lightweight and design looks very nice.
The performance and the screen resolution make it awesome feeling to play Fortnite and other resources intensive games. T..."
1264,4,"Got this laptop for 64k, starting with the design, it is sturdy and premium, though it is plastic build...feels very lighter in hand.

Display is good , a very good speaker and backlit keyboard is a plus point...Boot time is around 10 sec...and till now performance is blazing fast. download and upload speeds are great when connected to wifi.

NOTE : the chipset inside is i5 10th gen 1035 G1 and not G4 as mentioned in Flipkart, u can verify it in hp's official website.

Battery backup is ar..."
1265,5,"This laptop is very good for people who often end up doing lot of stuffs on their personal laptops like coding, photoshop, business work etc. Usage is smooth and fast. If you are working professional and looking for good laptops in this range please do consider this laptop."
1266,5,"Look wise it is sleek and nice.
The performance of it is quite good and at this price range very good.
The OS is fast supported by SSD.
All in all very good product for any kind of student(School,college, university etc) & Moderate level of gamer."
1267,4,"Well to start off with, this is my 1st laptop that i purchased. all this while i have been doing my work on a desktop and knew only of P4. Did a bit of research on the modern technology took me 2 days to zero down on to this product. first my budget was around 30 to 40 k. had shortlisted Lenovo i3. did further research and came across this one... just had to stretch my budget to further 9k, yes the purchase was worth it.

1 TB of SSD, 8 GB RAM, i5 processor, back lit keyboard, harman / kard..."
1268,5,"This laptop comes with awesome features and a superb battery backup. The laptop starts in 5-6 seconds, the speed of laptop is superb. And you get a battery backup of minimum 4+ hours. Others laptop even at a price of 65k won't give you such a good experience and such battery backup. It's the best laptop in this price range and specially more than best if you are a student. I have not faced any heating any laging issues until know. Some people are mentioning about laging and heating issue spec..."
1269,5,"It's been more than two weeks since I purchased this laptop.. As I'm a software developer, I bought this laptop for programming. I would like to share my experience with this laptop..
1) It has 1TB SSD which is best and it makes your laptop run smooth.
2) 8GB RAM is enough to give u seamless multitasking.
3) 178 degree viewing angle in LCD display is okay. Because while I was testing viewing angle it really not that much impressive and it's expected.
4) Built in Intel graphics card I haven'..."
1270,5,"this laptop comes with a great look. good performance laptop.
but battery drains very fast in starting. but now it's fine giving about 5 hours of battery backup.
the camera is not up to the mark.
performance is very smooth and fast. even if you're planning to buy this laptop I must say you can buy this laptop for daily use or office use. but this laptop not able to give you the best gaming performance. as its battery gets drain very fast while gamming.
I also still don't know that this lapto..."
1271,4,"Writing after two days of usage. Purchased for 47K. Looks and performance are good. For this price, it's worthy if it performs as per the config and lasts long. Fan is a bit noisy even I ain't using any apps. Overall satisfied with the product."
1272,5,It is totally good in this price
1273,4,"Overall good performance,but little disappointed with heating"
1274,5,Must buy ! best products in this cost
1275,5,"Excellent product in budget

Happy as per first impression i will update my full review after some day of usage.

Full review 👍

Laptop is fast as it has 8 GB DDR4 RAM
1TB ssd and pre install windows 10 home addition.
Nice backlit keyboard.
Fast reboot 5 to 7 sec only.
Best in budget laptop.
No heating issue
Battery is quite good you can easily use 7 hours in average use.

Display is average but you can adjust according your angle.
Type C charging missing. Although it has type C connection ..."
1276,5,Fastest performance and everything is so smooth with no noise like HDD laptops
1277,1,"I seriously doubt that this lap has got i3 processor coz it lags very much
It takes more than a minute to load a picture itself
Sticks most of the time"
1278,1,Battery backup very bad i m very disappointed
1279,1,not up to mark
1280,1,Very bad
1281,3,Ok👍
1282,4,"Good for basic uses. I am using it for my online classes, and it is perfectly fine for me."
1283,4,Perfect laptop at this price
1284,4,Good
1285,5,Very slow
1286,2,Worst performance
1287,4,"This is a very good laptop, I bought it for online classes. Although the company has mentioned the colour as Softmint, It looks just like silver. The look of the laptop is pretty cool and It works nicely. Build quality is awesome, and DELL is known for it :) And 8 GB RAM is more than sufficient for multitasking. We can also upgrade RAM as per need, so it isn't a matter of worry. Battery backup is about 5-6 hrs of normal usage. It's really a good laptop."
1288,3,Nice
1289,4,Solid design 🤩
1290,5,Nice product
1291,5,The lappy is realy looking cool and it's working nice
1292,1,There is no availability to insert sim card in this
1293,4,Overall good.
1294,5,It very amazing to have such a device as I was looking for a compact and in budget top class macbook for years... Now it's the solution for all the wait... Worth to have it... As I have used it for past 10 days... It's wonderful to handle and OS is pakka!! Must recommend to all mac lovers... Stylish and comfortable! Go for it!!
1295,5,"It's simply stunning and extravagant. Premium look with a processor capable enough for ur daily needs, has good battery backup as well . Will update the Review once I start Coding on it , do a bit more stuffs & yes I didn't face any significant heating issue as such......Surely Recommended !! :)"
1296,5,"See if you guys want just for regular purpose like surfing and codings as well as streaming than its good.
Apps take time to open. As it's having i3. I suggest you go for i5.. Its obvious don't buy it for gaming purpose!
Battery backup also good, unbeatable display as well as keyboard. I'm in love with it.
Thank you! Hope it will help you guys!"
1297,5,"Nothing to tell more. buy this for the trackpad and the keyboard(all other features are good), you will never ever disappointed. How can any one calibrate this much easiness in a small machine. I was using windows machines and now switched to mac. bit difficult for me to cope up with the ecosystem but with in days u will get the fluency.

The feel and the easiness makes this machine a perfect partner for any one"
1298,5,"it is my first mac.. I am feeling awesome and got a proper delivery. Also, I cross-checked the originality of the product, found true."
1299,5,I like the performance of the MacBook Air series. The battery backup is awesome for Work from home. On single charge it can last upto 10 hours. I prefer to use safari instead of chrome for better performance.
1300,1,"Device is great, but flipkart assistance and support is worst than anything else. The invoice provided from Flipkart specifies a extra character in serial number, i raised an issue regarding the same then they have been convincing me to just accept it as it is rather than providing the correct invoice. They replied same content in every mail that it does not affect the services being provided from apple, i agreed and told them to provide the same mail from apple that the wrong serial number w..."
1301,5,"First of all i3 processor might be making you difficult to choose this model.
But trust me I have been using it for a month now and I don't feel any kind of lag in performance.
Display is awesome. 5/5
Battery backup is too good. 5/5
Scissors Keyboard (typing comfort) 5/5
This is my best investment so for in gadgets.
Totally satisfied"
1302,5,Best laptop
1303,5,"Great performance even though Core i3 processor. Better performance than previous Macbook Air 2019 - i5 . So, don't hesitate to buy because this is Intel core i3 and apple has compromised with the performance. Just go for it."
1304,4,"• First of all you will not get 256ssd+256hdd, it is optional either 256 ssd or 256 hdd you can choose one of them! Don't Expect both disks! I would suggest flipkart not to misguide thier customers with false information and product descriptions.

•There are empty slots for SATA HDD you can upgrade that.

•Performance wise it is good.

•No Type ""C"" Port, comes without type C port.

•No backlit keyboard but luckily has caps lock indicator.

•Battery ls more than worst, laptop heats like ..."
1305,5,"My Specific Requirement ended here. I wanted daily day to day tasks performance with 14 inch FHD. 256 GB SSD. Will add another 8gb Ram. Performance is very snappy and very much satisfied.

- Processor mentioned is different, but if you compare both in google you wont find much difference.
- As shown in picture you wont get any USB C type port
- Battery backup is good with 3.5 hrs
- Got this for 31150 Rupees. with 2k bank offer.
- Speaker output is really good, i wont say great but really good..."
1306,4,I have order this laptop which mentions here i3 10110u chip with clock speed of basic 2.10 ghz and I received the same laptop but the processor here is i3 1005G1 with base clock speed of 1.20 ghz. This is very unfair and i am really frustrated. Kindly think before you but this.
1307,4,Everything is good... But provide mouse and bag for the laptop if possible..! Thnku
1308,3,"Honest review:
please do not purchase this laptop, waste of money..
its simply hangs while you are working when there is only few apps running
it sometimes shutdown directly by showing the message attached clip
sometimes the screen goes off by keeping the mouse pointer on"
1309,3,"It has only 256 GB SSD only.no HDD, no type C port , be ethical while mentioning features...performance wise good"
1310,5,Value for money...so far so good. Will provide more feedback after 1 month of using.
1311,4,"I am reviewing this after using 11 days. it's been good so far and display is awesome and overall look is premium. Open and shut down in just 5 sec. It gets heated after using 1 hour and lags little bit while working with 3-4 tabs..... pre-installed Windows 10 and MS-office is excellent! Camera quality is average...it could have better... battery last for 3-4 hours if fully charged....i bought it on Rs. 34490/-
Product was not as per mentioned."
1312,5,"Amazing products, window open only 1 second , I like💞"
1313,3,Microsoft office home & student 2019 is not included plz help me.
1314,5,"This is one of the best laptop I have ever used, performance wise great, display quality is excellent and weight distribution is awesome. Only issue I faced till now it heats up after 2-3hr of continuous use.
In short loved the elegant design and colour..."
1315,5,"Fantastic experience with this laptop so far...
Pros:-
1. Fast boot time and highly responsive(thanks to high-performance NVMe M.2 SSD.)
2. Ryzen 5 3405U is last year's gaming processor almost equal to 3500U and better optimized so no heating issue as compare to 3500U.
3. 8 GB RAM so it handles every task smoothly ( the good thing is another slot is also available for a future RAM upgrade.)
4. Excellent Full HD anti-glare Display with good viewing angle media consumption is just wow
5. Good ..."
1316,5,"Pros:
1. Complete value for money - Got it under 41k
2. High quality performance - Using Ryzen 5 for the first time and am surely impressed
3. Great display and design
2. Strong and solid build quality
3. Keypad & touchpad are smooth
5. Professional/businesslike look to it
6. Good battery, no complains here
7. Lightweight and easy to carry around
8. Quick charging
9. McAfee free for 15 months
10. Very good for daily use for students or office goers
11. Very light and portable laptop cha..."
1317,5,"I got this laptop for 40k during sale .
I am writing this review after 2 weeks of using this laptop.
Pros:
1. Design is good and also performance
2.display and sound quality is also good and boots up very fast .
3.battery is decent not that good I use it for online class and browsing it gives 4 hours .
4.charging takes 2 to 2.5 hrs to get full .
Cons :
Heats up after 2 0r 3hrs only for browsing and zoom classes without running any heavy software ."
1318,4,"Very good design.
Colour was awesome."
1319,5,"First of all flipkart delivery was awesome I mean I got it delivered in next day.
Product is also very cool
Display 5/5
Sound 5/5
Performance 5/5
Design 5/5
Overall value for money."
1320,4,"Laptop is good. In terms of performance, design and display it justifies the price. The battery could have been a little better. Also this laptop heats up more than others ,not a lot but even in small Tasks like multiple tabs and connecting Internet, as soon as you connect it to the charger while using it heats up. If anyone knows how this issue can be fixed please let me know."
1321,3,"Performance and display is great, but has heating issue, while gaming or work with high computing requirements"
1322,5,Superb model...nice software....
1323,5,"Superb laptop under 42k
1) Great performances with good battery backup"
1324,5,"I am writing this review after use of 1+ month. It's a wonderful laptop in this budged. Tried more than 50+ AAA title launched between 2019 to 2021 and on Ultra Settings the Average frame rates are 70 to 120 fps.

Some of the game I played on Ultra settings are,

1) Shadow of the tomb raider 90-100 FPS
2) Forza Horizon 4 80-90 FPS
3) Cyberpunk 2077 60-0 FPS
4) Hitman 3 90-100 FPS
5) Red Dead Redemption II 60-80 FPS
6) GTA V 80-90 FPS
7) Assassin's Creed - Odyssey 60-70 FPS
8) Assassin's Cree..."
1325,4,"Delivery: ⭐
Flipkart Support: ⭐⭐⭐⭐
I got this product after promised delivery date and even after that I had to go to take this laptop to as delivery guy told that they don't deliver in our area although Flipkart is accepting delivery after adding pincode.

I am adding this feedback after using this laptop for 1 week

Laptop:
Pros:
1. Performance is really adequate
2. For games like GTA V, Naruto Ultimate Ninja etc.. Storm it works really smooth.
3. I also use Unity and other heavy graphics ..."
1326,5,"An absolute beast , GPU is the proper RTX 2070 not that scam called qmax ,a tad bit noisy when cooler boost is on .Though it's a gaming laptop typing on this keyboard is great fun, battery life is decent for a gaming laptop,best bit is the dragon center overclocking and undervolting is fairly easy hand down the best gaming laptop ,breezes through Red dead redemption 2 at over 60 fps in ultra settings enuf said if you got the money go for it worth every penny ."
1327,4,At this price this is the best laptop from any brand in gaming segment.Can't complain about battery life because no gaming laptop has good battery life.A power hungry processor from Intel with full 115 Watt TDP of Nvidia GeForce RTX 2070 GPU will give you great experience while playing games on ultra/high settings.There are no such heating issues if you use a cooling pad while playing AAA title games on extreme mode.The max temperature which can reach with cooling pad while playing games is u...
1328,4,"Bang for the buck!! After having to decide between Zephyrus G14 and MSI, I finally opted for this and boy is it a good choice. I have been using this for a month now and here is what I feel.

Pros:
1) The performance of i710750H is stunning. This can hold it's own in games as well as synthetic loads. I keep turboing up to 4.5 to 4.6 GHz easily and can go more if demanded.
2) The RTX 2070 is a regular version( no MaxQ or Super here). It has performed very well in AAA titles from yesteryear whi..."
1329,5,"Worth For Money

- Performance is Beast
- Display and Sound is Amazing
- Keyboard and It's Backlit is Awesome
- Graphics Performance is also Beast
- Battery Performance is Good
- Laptop Body is Better and Best

Delivery : ⭐
Flipkart Support : ⭐⭐⭐⭐
MSI Laptop : ⭐⭐⭐⭐⭐"
1330,5,Battery could have been better but apart from that everything else is amazing about this product good display with that refresh rate makes the overall all experience even more smoother. Performance wise it is a beast I mean 32 gb Ram packed with 8 gb graphics and i7 10th gen and 512 gb SSD makes it worth every penny. I use this laptop majorly for Coding and Gaming and it can handle all the task quite efficiently. Design is bit old school though but don’t that’s what is required to keep it the...
1331,5,"It's an amazing machine. Great design. Specs are awesom for the price. Many people said the battery life is bad but it's not so. If you're using the laptop without the charger connected, for normal usage you need to shift it to battery saver mode in the dragon center (Not the windows battery saver option). So if I shift it to battery saver mode in the Dragon Center I easily get atleast 3 to 4 hrs on battery power. This is a gaming laptop so power consumption is based on your usage and how you..."
1332,4,"Excellent purchase.
you need to understand this powerhouse of a machine is for those who need portability.
Yes the battery is subpar but you are getting a sweet deal.
If you have slightly higher budget go for rog 2020 but this should be sufficient"
1333,5,"Really good performance for the price, good for development and gaming."
1334,5,This is the best Macbook that Apple has ever made. It is also one of the best laptops in the world right now. Definitely go for it.
1335,5,Excellent product
1336,5,Product is very good but delivery is very very bad
1337,4,Product is very good. But delivery system is poor form flipkart
1338,5,Powerful machine. Good battery life .
1339,5,"Battery is very good, no other laptop can beat the battery performance."
1340,4,"It's really a good system specially for the students.
It's stylus pen works very smooth.
Full HD display. But webcam isn't very good.
Also not placed in a perfect location.
It has actual 470 GB of SSD.
Very nice Hinge Quality. Touch works very smoothly. Pre installed MS office, Macfree. Keyboard is giving a nice experience of typing.
Battery Backup is about 4-5 hours while continuously using.
Overall it's great 2in one convertible laptop at this price. I prefer everyone to go with this."
1341,5,"Better performance, nice touch screen rate, Finger print work fast to logon, great deal so recommend to buy this laptop."
1342,5,"Excellent features, the 10th Gen Intel and 512 GB SSD, the near Bezel less design and the 360 degree folding into a neat tablet has got me captivated. The build quality is Solid and really makes you feel its built to last. The illuminated keyboard and key travel is perfect. All in all..an excellent buy."
1343,4,"4GB base ram is an absolute sin otherwise the product is pretty much flawless IMO.
You will find your system suffocated in terms of RAM if you open up 3 applications at once. I remedied that by installing an 8GB memory stick into the laptop. Now it works perfectly.

-1 Star outright for having only 4GB ram"
1344,5,"Awesome experience. Loved it. Starting from its style to features, I found it wonderful. My first asus laptop and I love it."
1345,4,"Satisfy my(student) use.
One star less fr 4gb ram, which is really disappointing(but it can be extended to 12gb)
Otherwise laptop is good at this price.
Light weight, flexible, I can carry it anywhere.
Low graphics game can easily run.
Average battery life.
Audio is good fr laptop."
1346,5,"Much satisfied by the way flipkart delivered this even at the remote place....
Secondly the product out of the box amazed with its build design and the features especially the Touch screen..display...battery and other stuff captivate everyone's eye...."
1347,4,Good product. But touch is not as good as apple ipad which comes under 38k iPad. Touch should be more smooth just like phone as we are using.
1348,5,"Its just awesome.
i have used 1 week and i am writing this review.
battery-8/10
performance-8/10
sound-6/10
build quality-10/10
display-10/10
webcam-4/10
all is genuine , if u want 2 in 1 laptop in budget,then go for it.
for student,who only uses for educational purposes and light entertainment,its a blessing in disguise.
i will recommend this for student not for gamers."
1349,4,"I love that laptop .... Its battery is just owsm and touchresponse is also good .....

Just one things is not good is camera position because of that we cant use windows 10 hello face lock and also the quality of camera are not as good"
1350,5,I got this on 15 May 2021. Amazing performance of processor. It takes 2 to 3 secs only to start the system due to SSD. Awesome look. Fabulous display and very convenient to use even during night due to backlit keyboard. Any one can go for it without any hesitation.
1351,5,"After too much of searching i choose this one of Best laptop if you are looking for performance, battery, design just blindly go for it. And i loved the speed of this laptop 😍"
1352,5,Laptop is very good
1353,5,"Very good laptop

Received on 29th May

Ordered extra wireless keyboard of dell which is beneficial

Slim and light weight laptop"
